Source,RA_ICRS,DE_ICRS,pmRA,pmDE,Gmag,BPmag,RPmag
6083729472978186752,201.91809737027,-46.9959250849,-3.386,-6.745,17.842554,18.179472,17.382835
6083729674809263360,201.91842678807,-46.99412708859,-3.852,-2.688,20.165827,20.6918,19.172588
6083729468650834048,201.92412093203,-46.99396769154,-23.57,-42.372,18.035519,19.12026,17.064104
6083729468650839552,201.92450923234,-46.99146212027,-8.861,-2.336,19.42568,20.156519,18.788326
6083729472978186880,201.92472052446,-46.98990404635,-3.603,-6.652,18.206736,18.589447,17.726799
6083729571729997440,201.84717981639,-47.00888103403,-7.481,-1.102,17.546085,18.093483,16.877832
6083729571730003456,201.8507768201,-47.0072131318,-11.696,-1.816,18.384045,18.854254,17.795729
6083729576050839552,201.85621286437,-47.00485963019,-7.802,-1.088,19.756258,20.346441,19.188967
6083729576050839680,201.85510284309,-47.00436458024,-8.647,-2.949,20.128601,20.710903,19.818403
6083729610417139840,201.86659575096,-47.00632693896,-6.923,0.534,17.814734,18.253813,17.235453
6083729606089750528,201.86570692101,-47.00503330503,-2.091,-7.336,20.199543,20.626541,19.694551
6083729610410578176,201.87657010861,-47.00225640437,-8.625,-1.852,19.611221,20.119116,18.929426
6083729610417139968,201.87806505233,-47.00214812186,-3.652,-6.782,17.632948,17.956964,17.139969
6083729610411635200,201.87711644134,-46.99861560719,-4.528,-8.688,20.504818,20.84901,19.352362
6083729610411636224,201.87831688061,-46.99759936393,-2.993,-1.3,20.251242,20.618649,19.889006
6083729610417140096,201.87920265027,-46.99621399531,4.066,-0.496,13.698078,14.067368,13.158744
6083729606089758336,201.85870166095,-47.00249201117,-3.735,-6.456,19.537432,20.02397,19.00417
6083729610411632512,201.86510638388,-46.99795993381,-17.139,2.126,20.343885,21.59459,19.206089
6083729606089768832,201.8725020933,-46.99893516728,-3.062,-7.121,19.096382,19.497204,18.656404
6083729606089774976,201.87331100971,-46.99682111771,-2.581,-5.623,20.098032,20.603024,19.684172
6083729606089783552,201.86981761978,-46.99401645379,-32.486,12.693,19.18175,20.38214,18.182718
6083729606089783424,201.87410126474,-46.99439735498,-6.452,-1.221,19.15826,19.658987,18.60046
6083729610411636736,201.87553963537,-46.99260529717,,,20.957079,22.199812,19.778395
6083729644771379200,201.90356011011,-46.99641922264,,,21.174208,21.666,20.424185
6083729640459714688,201.89190606432,-46.99926769886,-7.295,1.833,20.333675,20.881525,19.632038
6083729640449520384,201.89529892459,-46.99985446148,-33.814,-8.048,13.865811,14.32335,13.241049
6083729640449517696,201.89858916283,-46.99562160816,-4.799,-1.971,20.612343,21.125237,20.009777
6083729644771377152,201.89371277651,-46.99807052573,-5.105,-2.586,20.359316,20.706528,19.680153
6083729674809261184,201.90429283649,-46.9951970651,-29.616,-4.818,17.457476,18.2554,16.608507
6083729679130055936,201.90649414526,-46.99396630746,-14.258,-4.592,19.559277,20.508072,18.666346
6083729674809271168,201.91664480459,-46.99065206254,-6.142,-3.216,19.5033,19.975569,18.910297
6083729679131119616,201.92317935389,-46.98621021958,,,20.854853,22.033834,19.956614
6083729679131352192,201.91961055473,-46.9864931053,,,21.012463,21.59053,20.263815
6083729679131118720,201.90632060406,-46.99021952819,,,20.981895,21.712317,20.303741
6083729679130056192,201.91031282384,-46.98912044733,-2.38,-6.971,20.608301,21.291178,19.921309
6083729674809289216,201.91008410512,-46.98434076008,-11.517,-0.656,18.62934,19.06693,18.007196
6083729679130056320,201.91746947975,-46.9810720752,-6.429,-3.458,19.926437,20.475557,19.186043
6083729674809303936,201.91514044738,-46.98145242531,-11.354,-3.839,19.604177,20.42078,18.634119
6083729679136617216,201.91626678099,-46.98018934372,-2.957,3.79,18.51558,19.084364,17.750393
6083729709161365504,201.88505705721,-46.99887669733,-24.109,-7.424,11.955253,12.192819,11.567616
6083729713490851712,201.88034464071,-46.99823711906,-9.595,-0.129,20.159431,20.824842,19.005753
6083729709169005568,201.88721381485,-46.99195227,-4.229,0.909,19.827162,20.559635,19.084223
6083729713490854784,201.89362905928,-46.9933361783,-3.852,-0.618,20.552485,21.08559,20.229004
6083729713490854912,201.89456534951,-46.99204733023,,,20.75678,21.63633,19.985172
6083729713496499712,201.89902567961,-46.98713139997,-8.885,2.169,17.852583,18.33496,17.202484
6083729709169034880,201.89652193029,-46.98252212233,-4.207,-4.798,17.59488,17.9094,17.150984
6083729747850595840,201.90499016695,-46.98375893596,,,20.797964,21.656404,19.936764
6083729743521101952,201.91194372919,-46.97655856598,-10.914,-2.468,11.87669,12.543733,11.093399
